election_period,meeting,sitting,agenda,filename
ps2013,42,5,15,samples/sample_audio_statistics_output/2016/03/08/2016030816481702.txt
ps2013,42,1,7,samples/sample_audio_statistics_output/2016/03/01/2016030117081722.txt
ps2013,42,1,5,samples/sample_audio_statistics_output/2016/03/01/2016030116181632.txt
ps2013,42,9,202,samples/sample_audio_statistics_output/2016/03/22/2016032218381852.txt
ps2013,42,6,160,samples/sample_audio_statistics_output/2016/03/09/2016030911281142.txt
ps2013,42,3,77,samples/sample_audio_statistics_output/2016/03/03/2016030312181232.txt
ps2013,42,9,202,samples/sample_audio_statistics_output/2016/03/22/2016032216181632.txt
ps2013,42,2,149,samples/sample_audio_statistics_output/2016/03/02/2016030210381052.txt
ps2013,42,7,224,samples/sample_audio_statistics_output/2016/03/10/2016031015181532.txt
ps2013,42,1,1,samples/sample_audio_statistics_output/2016/03/01/2016030114481502.txt
ps2013,42,1,7,samples/sample_audio_statistics_output/2016/03/01/2016030117381752.txt
ps2013,42,2,157,samples/sample_audio_statistics_output/2016/03/02/2016030214281442.txt
ps2013,42,7,145,samples/sample_audio_statistics_output/2016/03/10/2016031009080922.txt
ps2013,42,3,224,samples/sample_audio_statistics_output/2016/03/03/2016030314281442.txt
ps2013,42,9,225,samples/sample_audio_statistics_output/2016/03/22/2016032214281442.txt
ps2013,42,5,0,samples/sample_audio_statistics_output/2016/03/08/2016030815281542.txt
ps2013,42,4,163,samples/sample_audio_statistics_output/2016/03/04/2016030412381252.txt
ps2013,42,10,0,samples/sample_audio_statistics_output/2016/03/23/2016032308580912.txt
ps2013,42,10,172,samples/sample_audio_statistics_output/2016/03/23/2016032311181132.txt
ps2013,42,2,31,samples/sample_audio_statistics_output/2016/03/02/2016030215081522.txt
ps2013,42,9,0,samples/sample_audio_statistics_output/2016/03/22/2016032214081422.txt
ps2013,42,10,172,samples/sample_audio_statistics_output/2016/03/23/2016032311581212.txt
ps2013,42,9,202,samples/sample_audio_statistics_output/2016/03/22/2016032216581712.txt
ps2013,42,8,18,samples/sample_audio_statistics_output/2016/03/11/2016031110381052.txt
ps2013,42,8,20,samples/sample_audio_statistics_output/2016/03/11/2016031109380952.txt
ps2013,42,2,61,samples/sample_audio_statistics_output/2016/03/02/2016030216581712.txt
ps2013,42,3,224,samples/sample_audio_statistics_output/2016/03/03/2016030317381752.txt
ps2013,42,1,0,samples/sample_audio_statistics_output/2016/03/01/2016030114281442.txt
ps2013,42,6,37,samples/sample_audio_statistics_output/2016/03/09/2016030917181732.txt
ps2013,42,5,15,samples/sample_audio_statistics_output/2016/03/08/2016030818081822.txt
ps2013,42,8,67,samples/sample_audio_statistics_output/2016/03/11/2016031113381352.txt
ps2013,42,8,67,samples/sample_audio_statistics_output/2016/03/11/2016031113181332.txt
ps2013,42,2,31,samples/sample_audio_statistics_output/2016/03/02/2016030214481502.txt
ps2013,42,6,73,samples/sample_audio_statistics_output/2016/03/09/2016030915381552.txt
ps2013,42,6,10,samples/sample_audio_statistics_output/2016/03/09/2016030916581712.txt
ps2013,42,4,163,samples/sample_audio_statistics_output/2016/03/04/2016030409380952.txt
ps2013,42,6,41,samples/sample_audio_statistics_output/2016/03/09/2016030918081822.txt
ps2013,42,6,163,samples/sample_audio_statistics_output/2016/03/09/2016030908580912.txt
