id	surname	forename	sex	birth	picture	
JaroslavHolik.1953	Holík	Jaroslav	M	1953-06-29	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6198.jpg
JaroslavKlaska.1962	Klaška	Jaroslav	M	1962-06-28	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i6210.jpg
JaroslavKrakora.1955	Krákora	Jaroslav	M	1955-10-25	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i5279.jpg
JaroslavKytyr.1963	Kytýr	Jaroslav	M	1963-03-24	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6512.jpg
JaroslavLobkowicz.1942	Lobkowicz	Jaroslav	M	1942-08-16	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i392.jpg
JaroslavMaly	Malý	Jaroslav	M		
JaroslavMartinu.1959	Martinů	Jaroslav	M	1959-04-18	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i5945.jpg
JaroslavSixta	Sixta	Jaroslav			
JaroslavVetrovsky	Větrovský	Jaroslav	M		
JaroslavVymazal.1955	Vymazal	Jaroslav	M	1955-03-13	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6666.jpg
JaroslavZavadil.1944	Zavadil	Jaroslav	M	1944-04-12	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i6157.jpg
JaroslavZeman	Zeman	Jaroslav	M		
JaroslavaNemcova.1971	Němcová	Jaroslava	F	1971-04-27	
JaroslavaPokornaJermanova.1970	Pokorná Jermanová	Jaroslava	F	1970-08-17	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6202.jpg
JaroslavaPuntova.1957	Puntová	Jaroslava	F	1957-12-20	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6686.jpg
JeronymTejc.1977	Tejc	Jeroným	M	1977-08-23	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i5513.jpg
JiriBehounek.1952	Běhounek	Jiří	M	1952-05-13	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6002.jpg
JiriBis.1941	Bis	Jiří	M	1941-04-26	
JiriBlaha.1961	Bláha	Jiří	M	1961-08-26	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6439.jpg
JiriCarbol.1959	Carbol	Jiří	M	1959-02-04	https://www.psp.cz/eknih/cdrom/2006ps/eknih/2006ps/poslanci/i5449.jpg
JiriCienciala	Cienciala	Jiří			
JiriCienciala.1950	Cienciala	Jiří	M	1950-03-10	
JiriCunek.1959	Čunek	Jiří	M	1959-02-22	
JiriDienstbier.1969	Dienstbier	Jiří	M	1969-05-27	https://www.psp.cz/eknih/cdrom/2010ps/eknih/2010ps/poslanci/i1016.jpg
JiriDolejs.1961	Dolejš	Jiří	M	1961-01-24	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i5261.jpg
JiriHavlicek.1976	Havlíček	Jiří	M	1976-05-16	
JiriHlavaty.1948	Hlavatý	Jiří	M	1948-07-29	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6303.jpg
JiriHolecek.1972	Holeček	Jiří	M	1972-04-26	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i6196.jpg
JiriJunek.1973	Junek	Jiří	M	1973-11-25	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i6204.jpg
JiriKobza.1955	Kobza	Jiří	M	1955-12-27	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6503.jpg
